Austria,Belgium,Denmark,Finland,France,Germany,Greece,Ireland,Israel,Italy,Luxembourg,Monaco,Norway,Portugal,Spain,Sweden,Switzerland,The Netherlands,Turkey,United Kingdom
0,4,2,0,12,0,3,6,8,0,0,1,0,0,7,0,10,0,0,5
0,0,0,0,8,5,0,10,12,1,3,6,0,0,2,0,7,0,0,4
2,0,0,0,8,1,4,0,6,0,7,10,0,0,12,0,3,5,0,0
0,6,0,0,2,12,5,3,10,0,0,8,0,0,7,4,1,0,0,0
0,12,6,0,0,0,10,5,8,4,0,1,0,0,0,3,7,0,0,2
1,3,0,0,10,0,0,5,12,2,0,7,0,0,0,0,6,4,0,8
0,12,0,0,8,7,0,10,5,2,1,4,0,0,6,0,0,0,0,3
0,12,0,0,6,1,7,0,8,10,2,4,0,0,0,5,0,0,0,3
0,7,4,0,5,3,10,0,0,0,0,8,0,0,6,0,1,12,0,2
0,6,0,0,10,3,2,0,8,0,12,7,0,4,0,0,1,5,0,0
0,7,0,0,1,0,4,10,12,3,0,0,0,0,2,0,8,6,0,5
0,12,0,0,5,10,0,0,3,8,6,0,0,0,4,0,2,1,0,7
0,7,0,2,3,0,0,12,8,6,0,4,0,0,0,10,5,0,1,0
3,4,0,0,2,7,8,0,10,1,12,5,0,0,0,0,0,0,0,6
0,2,0,0,5,10,7,0,6,8,12,0,0,1,0,0,4,0,0,3
5,4,0,0,10,7,2,8,0,0,6,12,0,0,0,0,0,1,0,3
0,10,0,0,6,3,4,7,12,1,0,5,0,0,8,0,0,0,0,2
0,5,1,0,6,7,0,0,12,0,3,10,0,0,4,0,8,0,0,2
3,0,0,0,4,8,0,10,12,1,2,5,0,0,7,0,0,0,0,6
0,12,0,0,8,0,0,0,5,6,7,10,0,0,0,4,2,3,1,0
