Austria,Belgium,Cyprus,Denmark,Finland,France,Germany,Ireland,Italy,Luxembourg,Norway,Portugal,Spain,Sweden,Switzerland,The Netherlands,Turkey,United Kingdom,Yugoslavia
0,3,0,4,5,8,1,10,7,0,0,0,6,12,0,0,0,2,0
0,0,0,8,0,10,6,12,0,0,1,0,3,7,5,0,4,2,0
0,0,0,5,4,3,0,10,0,7,0,0,6,12,1,0,0,2,8
4,0,10,0,6,0,2,3,0,5,0,0,7,12,8,0,0,1,0
0,10,0,5,0,0,0,7,12,0,6,0,0,8,1,0,3,4,2
0,12,1,8,5,0,4,3,0,0,0,0,10,6,0,7,0,0,2
0,4,0,5,1,0,0,10,6,0,2,8,0,12,0,0,0,7,3
1,0,4,10,0,0,0,0,0,5,3,0,7,12,0,6,2,8,0
0,1,0,5,0,7,2,12,0,3,0,0,8,6,4,0,0,10,0
0,12,0,3,0,0,0,5,10,0,7,4,8,6,0,2,0,1,0
0,3,0,12,5,2,7,4,1,0,0,0,6,10,0,0,0,8,0
0,10,0,1,3,7,5,2,8,0,0,0,12,4,0,0,0,6,0
0,2,0,6,1,0,0,10,12,7,0,5,0,4,0,8,0,3,0
0,0,4,5,7,2,0,12,0,0,8,0,10,0,1,0,6,3,0
0,0,0,1,0,4,0,12,7,0,2,8,3,10,0,5,6,0,0
0,8,0,3,0,12,5,7,0,0,0,6,2,10,0,0,1,4,0
0,5,0,2,6,0,0,10,7,4,0,0,12,3,0,0,0,1,8
0,0,0,12,0,6,2,8,0,0,0,0,4,7,10,1,5,0,3
0,0,12,6,3,0,0,0,0,8,0,7,2,4,0,5,10,1,0
