Austria,Belgium,Cyprus,Denmark,Finland,France,Germany,Greece,Iceland,Ireland,Israel,Italy,Luxembourg,Malta,Norway,Portugal,Spain,Sweden,Switzerland,The Netherlands,Turkey,United Kingdom,Yugoslavia
0,0,0,3,0,0,0,4,7,10,1,6,0,8,0,0,2,0,0,5,0,12,0
8,0,0,0,0,0,6,0,4,7,0,0,0,10,3,0,1,0,5,2,0,12,0
8,0,0,0,0,3,0,12,0,5,4,10,0,1,0,0,0,0,0,7,0,6,2
7,0,0,0,0,0,3,0,5,10,2,0,0,8,6,0,1,4,0,0,0,12,0
0,0,8,0,0,7,0,5,0,10,0,12,0,0,1,2,3,0,0,0,0,6,4
0,3,2,0,0,0,0,7,0,0,8,12,0,0,0,0,6,1,0,4,0,10,5
0,0,0,5,0,3,0,0,6,10,4,1,0,0,0,8,0,0,0,7,0,12,2
8,0,10,0,0,0,0,0,6,12,0,3,0,7,0,2,4,0,0,5,0,0,1
0,0,0,6,0,0,0,2,0,7,0,10,0,8,1,0,0,0,12,3,0,4,5
12,0,6,0,0,5,2,0,0,0,0,0,0,10,0,0,0,0,1,8,3,7,4
0,0,3,6,1,12,0,7,4,0,0,0,0,0,0,8,0,0,0,5,0,2,10
0,0,4,0,0,6,0,12,5,2,0,0,0,3,0,1,7,0,10,0,0,8,0
0,1,0,6,0,0,0,0,5,10,8,0,0,12,4,0,3,0,0,0,0,7,2
4,0,1,0,0,0,0,0,0,12,7,5,10,0,0,0,2,0,0,0,8,6,3
0,0,3,6,0,10,0,8,1,7,2,12,0,0,0,0,5,0,0,4,0,0,0
3,0,2,1,0,0,10,5,6,4,7,8,0,12,0,0,0,0,0,0,0,0,0
2,3,0,4,0,6,0,0,8,1,10,0,0,12,0,0,0,0,0,7,0,5,0
1,0,0,7,0,0,0,3,6,10,4,8,0,12,2,0,0,0,0,0,0,5,0
0,0,2,0,0,12,0,10,3,6,4,7,0,5,0,0,0,0,0,1,0,8,0
0,0,8,0,0,6,0,4,2,10,3,12,0,5,0,0,1,0,0,0,0,7,0
0,4,0,0,0,3,0,8,0,12,2,5,0,0,0,0,1,0,0,7,0,10,6
10,0,0,3,0,0,6,0,12,8,7,0,0,0,5,0,1,0,4,2,0,0,0
0,0,8,0,3,0,0,7,0,2,12,0,0,10,1,5,0,4,0,0,6,0,0
