Austria,Bosnia & Herzegovina,Croatia,Cyprus,Denmark,Estonia,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Malta,Norway,Poland,Portugal,Russia,Slovenia,Spain,Sweden,Switzerland,The Netherlands,Turkey,United Kingdom
0,4,0,0,0,6,0,3,0,0,2,10,1,0,0,8,0,5,0,0,0,0,0,7,12
0,0,2,0,0,1,3,0,0,0,0,8,6,5,0,4,0,0,7,0,0,0,0,12,10
0,1,0,4,0,0,0,5,7,2,0,6,10,8,0,0,0,0,3,0,0,0,0,0,12
0,0,4,0,0,1,3,0,12,0,0,8,6,5,0,0,0,0,2,10,0,0,0,0,7
0,0,0,7,0,8,1,0,0,0,0,10,4,3,0,5,0,0,0,2,6,0,0,0,12
0,0,0,1,0,0,12,0,0,5,2,8,0,0,0,3,0,7,4,0,0,0,0,6,10
0,0,0,4,0,8,0,0,0,5,0,10,0,1,0,3,0,0,7,2,0,0,0,6,12
0,3,1,5,0,7,0,0,0,0,0,8,4,0,0,6,0,0,0,2,0,0,0,12,10
0,0,0,12,2,0,4,0,0,0,0,0,5,8,0,1,0,0,3,6,0,0,0,7,10
5,0,0,0,0,4,2,1,0,0,0,8,3,0,0,7,0,0,0,10,0,0,0,6,12
0,0,0,12,6,2,10,0,0,5,0,0,1,0,0,0,0,0,3,0,4,0,0,7,8
0,0,0,3,0,8,10,0,0,4,0,0,1,7,0,0,0,0,0,6,5,0,0,2,12
0,0,0,4,0,12,0,5,0,0,0,10,0,6,0,1,0,0,0,3,0,2,0,7,8
0,0,8,7,0,0,0,3,6,2,0,0,0,0,0,0,0,0,5,12,0,0,4,10,1
0,0,0,2,7,0,12,0,5,0,0,3,0,10,0,4,0,1,0,0,8,0,0,0,6
1,0,3,0,0,6,12,0,0,5,0,7,8,0,0,0,0,0,2,4,0,0,0,0,10
0,0,0,3,0,1,6,0,0,0,0,10,12,0,0,2,0,0,4,8,0,0,0,5,7
3,0,0,1,0,0,6,0,2,0,0,5,7,0,0,0,0,0,10,8,0,0,0,4,12
0,0,0,4,0,3,2,0,0,0,0,1,10,0,0,7,0,12,0,5,6,0,0,0,8
0,0,0,10,0,4,0,0,7,0,0,6,8,1,0,2,0,0,0,0,0,3,0,12,5
0,4,5,0,7,1,2,0,0,0,8,10,3,0,0,0,0,0,0,0,0,0,0,6,12
0,2,0,4,1,0,3,5,0,0,0,7,10,0,0,0,0,0,0,8,0,0,0,6,12
3,0,0,10,0,0,5,0,0,0,0,4,7,0,0,1,0,8,0,6,0,0,0,2,12
0,8,0,0,0,0,2,0,0,3,0,6,5,12,0,0,0,0,10,4,0,0,1,0,7
0,0,1,5,2,10,0,0,0,8,6,12,3,0,0,0,0,0,0,0,7,0,0,4,0
