Austria,Azerbaijan,Bosnia & Herzegovina,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Italy,Lithuania,Moldova,Romania,Russia,Serbia,Slovenia,Spain,Sweden,Switzerland,Ukraine,United Kingdom
0,8,7,0,0,0,2,0,0,10,0,0,0,12,0,0,0,4,1,0,5,0,0,3,6
3,0,0,0,0,0,5,10,0,7,0,0,0,6,0,0,0,8,1,0,0,4,0,12,2
0,8,12,0,0,0,0,0,10,0,2,0,4,6,0,5,1,0,7,3,0,0,0,0,0
0,0,0,0,0,0,0,10,0,8,2,0,0,1,0,7,6,4,0,0,0,3,0,12,5
0,6,0,1,0,0,0,12,8,0,0,0,0,3,0,7,0,5,0,0,0,4,0,10,2
0,3,0,0,2,0,12,0,5,8,0,0,7,6,0,1,10,0,0,0,0,4,0,0,0
7,8,0,0,0,0,4,0,3,0,0,1,2,6,0,0,0,0,10,12,0,5,0,0,0
5,0,2,7,0,0,0,1,0,10,0,0,3,0,0,0,6,4,0,0,0,0,0,8,12
3,10,7,0,0,0,6,0,1,0,0,0,0,0,2,0,0,0,8,12,0,4,0,5,0
0,8,0,3,0,0,7,0,0,12,0,0,0,1,0,0,0,2,0,6,0,10,0,5,4
1,0,0,0,2,5,0,0,8,0,0,6,12,0,0,0,4,0,0,7,0,10,0,0,3
0,8,0,10,0,7,0,3,0,0,0,0,0,6,0,0,1,5,0,2,4,12,0,0,0
2,0,12,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,8,10,4,6,0,7,5
1,5,0,0,7,0,4,0,0,0,12,8,10,3,0,0,0,0,2,0,0,6,0,0,0
0,6,5,7,0,0,0,0,3,0,2,0,0,8,0,4,0,0,0,0,12,10,0,0,1
3,8,0,0,0,0,2,0,0,6,0,0,0,7,12,5,0,4,0,0,0,1,0,10,0
12,0,7,6,0,2,0,0,0,10,0,0,8,3,0,4,0,5,0,1,0,0,0,0,0
0,5,3,0,0,0,12,8,4,0,0,0,0,10,0,0,0,1,0,0,0,6,0,7,2
2,7,0,0,0,0,0,5,0,8,0,12,0,4,0,0,1,3,0,6,0,10,0,0,0
0,8,0,12,0,10,0,0,6,0,5,0,4,3,0,0,0,1,0,0,0,7,0,0,2
0,0,0,12,7,3,0,0,0,0,0,0,0,5,10,8,1,0,0,2,0,4,0,0,6
0,4,0,10,5,0,0,2,0,0,0,0,0,0,0,0,6,8,0,3,0,12,0,7,1
0,0,4,0,0,0,1,0,6,2,0,5,0,0,0,8,12,0,3,0,0,0,0,7,10
0,2,0,6,4,0,1,0,8,0,0,0,10,12,7,0,0,0,0,3,0,0,0,0,5
0,8,0,0,7,1,0,12,2,0,0,0,0,10,0,4,0,6,5,0,0,0,0,0,3
2,12,0,5,0,0,1,0,0,0,0,0,8,10,0,0,0,0,0,3,0,6,0,4,7
0,10,0,0,6,0,2,7,0,1,0,0,0,0,0,0,12,5,0,0,0,3,0,8,4
0,0,4,7,2,12,0,0,5,0,0,8,0,0,3,0,0,0,6,0,0,10,0,0,1
0,8,0,3,0,5,0,7,4,0,0,0,1,10,12,0,0,0,6,0,0,0,0,2,0
0,8,0,0,0,0,2,0,0,0,0,4,6,10,0,5,0,0,0,1,12,0,0,7,3
0,10,0,0,0,0,0,0,0,8,7,0,0,6,1,12,0,0,0,4,5,3,0,2,0
0,12,0,0,0,0,3,6,0,8,0,0,0,0,2,7,0,0,0,5,0,1,0,10,4
0,10,0,4,0,0,3,7,0,8,0,0,0,12,0,0,0,0,5,1,0,6,0,0,2
0,0,12,0,0,0,0,0,0,3,8,0,0,2,7,0,0,4,0,10,0,1,5,6,0
3,7,0,6,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,1,2,10,4,12,0
5,0,12,8,0,0,0,0,7,0,0,0,0,3,0,0,0,0,10,0,2,4,0,6,1
0,0,0,0,0,0,10,0,3,0,6,2,7,12,1,0,8,0,4,0,0,5,0,0,0
4,3,8,10,0,7,0,0,6,0,5,1,12,0,0,0,0,0,0,0,0,0,0,2,0
7,1,12,0,0,5,0,0,8,2,0,10,0,4,0,0,0,0,6,0,3,0,0,0,0
1,6,8,12,0,0,0,0,7,0,0,0,5,0,0,0,4,0,3,2,0,10,0,0,0
1,12,10,0,0,0,0,8,3,0,0,0,0,0,0,0,5,0,0,2,0,4,0,7,6
0,10,0,0,2,0,5,12,0,6,4,0,0,0,0,7,0,8,0,0,0,1,0,0,3
2,0,0,5,0,0,0,0,0,0,0,4,12,7,6,8,0,0,0,0,1,3,10,0,0
