From country,Austria,Belgium,Denmark,Finland,France,Germany,Italy,Luxembourg,Monaco,Norway,Spain,Sweden,Switzerland,The Netherlands,United Kingdom,Yugoslavia
Austria,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0
Belgium,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1
Denmark,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0
Finland,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1
France,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3
Germany,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0
Italy,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3
Luxembourg,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0
Monaco,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0
Norway,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0
Spain,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0
Sweden,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2
Switzerland,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0
The Netherlands,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0
United Kingdom,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0
Yugoslavia,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0
