From country,Austria,Belgium,Denmark,Finland,France,Germany,Greece,Ireland,Italy,Luxembourg,Morocco,Norway,Portugal,Spain,Sweden,Switzerland,The Netherlands,Turkey,United Kingdom
Austria,0,0,0,0,0,8,5,10,2,1,0,0,0,4,0,6,12,3,7
Belgium,1,0,0,0,5,7,0,12,10,8,0,0,4,0,0,2,3,0,6
Denmark,5,0,0,0,1,7,2,12,3,4,0,0,6,0,0,8,0,0,10
Finland,5,0,7,0,0,2,0,8,6,3,0,0,1,0,0,12,10,0,4
France,4,0,0,1,0,10,0,8,2,7,0,3,6,0,0,0,12,0,5
Germany,4,0,5,0,0,0,0,12,7,0,0,6,1,0,2,10,8,0,3
Greece,1,3,4,0,7,0,0,12,2,0,0,0,5,8,10,0,6,0,0
Ireland,10,0,0,0,3,5,4,0,2,8,0,0,7,0,0,12,1,0,6
Italy,4,0,0,0,0,12,2,1,0,0,7,0,10,6,5,3,0,8,0
Luxembourg,0,0,0,0,2,3,1,7,0,0,0,0,4,6,10,5,12,0,8
Morocco,3,0,2,0,1,10,0,0,0,0,0,4,0,5,6,7,0,12,8
Norway,6,0,1,5,3,0,4,12,2,7,0,0,8,0,0,10,0,0,0
Portugal,3,10,0,0,0,8,1,5,12,0,0,0,0,2,0,6,4,0,7
Spain,4,0,0,0,6,12,0,7,10,3,0,0,0,0,1,2,5,0,8
Sweden,1,0,0,0,4,5,0,7,10,6,0,0,8,0,0,2,3,0,12
Switzerland,4,0,6,0,1,7,0,12,8,0,0,0,2,0,5,0,3,0,10
The Netherlands,3,0,0,0,4,12,8,6,1,0,0,2,5,0,0,10,0,0,7
Turkey,0,0,0,0,3,10,0,0,6,1,0,0,4,7,8,2,12,0,5
United Kingdom,6,1,0,0,5,10,3,12,4,8,0,0,0,0,0,7,2,0,0
