From country,Austria,Bosnia & Herzegovina,Croatia,Cyprus,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Lithuania,Malta,Norway,Poland,Portugal,Romania,Russia,Slovakia,Spain,Sweden,Switzerland,The Netherlands,United Kingdom
Austria,0,0,0,0,0,0,7,2,0,8,3,10,0,0,0,12,0,0,6,0,0,5,0,4,1
Bosnia & Herzegovina,5,0,0,0,0,1,2,7,0,3,0,10,0,12,6,8,0,0,0,0,0,0,0,0,4
Croatia,2,4,0,0,0,0,0,10,0,5,0,12,0,7,3,8,0,0,1,0,0,0,0,0,6
Cyprus,7,0,0,0,0,0,4,6,12,0,0,8,0,2,10,1,0,0,3,0,0,0,0,0,5
Estonia,0,0,0,0,0,0,6,3,0,4,0,10,0,7,8,12,0,0,1,0,0,2,0,0,5
Finland,0,2,0,10,0,0,0,3,4,12,1,7,0,6,0,8,5,0,0,0,0,0,0,0,0
France,0,10,0,3,0,0,0,0,0,7,4,8,0,0,0,12,6,0,1,0,2,0,5,0,0
Germany,0,0,0,0,0,0,8,0,1,7,0,12,0,3,2,10,0,0,6,0,0,5,0,0,4
Greece,0,0,5,12,2,10,0,0,0,0,0,0,0,7,1,0,0,6,4,3,8,0,0,0,0
Hungary,0,1,0,0,0,0,0,12,4,0,0,10,0,0,5,8,7,0,6,0,0,2,0,0,3
Iceland,0,0,0,3,0,0,5,7,0,10,0,12,0,0,1,6,8,0,4,0,0,2,0,0,0
Ireland,0,0,0,0,0,0,2,5,0,12,6,0,0,10,3,7,8,0,4,0,0,0,0,0,1
Lithuania,0,0,0,0,0,0,8,4,0,0,3,10,0,7,1,12,0,2,6,0,0,5,0,0,0
Malta,0,7,10,0,0,0,0,0,4,0,0,5,0,0,0,2,1,6,0,12,0,3,8,0,0
Norway,0,0,0,5,0,0,7,1,4,8,0,12,0,0,0,6,0,0,3,0,0,10,0,0,2
Poland,0,0,0,5,0,0,6,7,2,12,4,8,0,0,0,0,1,0,10,0,0,0,0,0,3
Portugal,0,0,0,5,0,0,6,10,0,1,3,12,0,4,0,7,0,0,2,0,0,0,0,0,8
Romania,1,0,0,0,0,0,0,12,6,2,0,8,0,10,4,7,0,0,3,0,5,0,0,0,0
Russia,0,0,0,2,0,0,10,7,0,3,1,12,0,0,8,6,4,0,0,0,0,0,0,0,5
Slovakia,0,8,12,0,0,0,0,7,5,0,1,6,0,10,0,4,0,0,0,0,2,0,0,0,3
Spain,0,7,0,4,0,0,0,8,0,0,6,10,0,0,5,0,12,0,0,0,0,1,2,0,3
Sweden,1,0,0,0,0,0,3,6,2,12,8,10,0,4,7,0,5,0,0,0,0,0,0,0,0
Switzerland,0,0,0,2,0,0,0,0,0,4,3,12,0,6,1,10,5,0,0,0,0,7,0,0,8
The Netherlands,0,0,0,0,0,0,0,4,0,10,0,12,0,1,7,8,3,0,5,0,0,6,0,0,2
United Kingdom,3,0,0,0,0,0,0,7,0,2,6,10,0,1,4,12,8,0,5,0,0,0,0,0,0
