From country,Austria,Bosnia & Herzegovina,Croatia,Cyprus,Denmark,Estonia,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Malta,Norway,Poland,Portugal,Russia,Slovenia,Spain,Sweden,Switzerland,The Netherlands,Turkey,United Kingdom
Austria,0,4,0,0,0,6,0,3,0,0,2,10,1,0,0,8,0,5,0,0,0,0,0,7,12
Bosnia & Herzegovina,0,0,2,0,0,1,3,0,0,0,0,8,6,5,0,4,0,0,7,0,0,0,0,12,10
Croatia,0,1,0,4,0,0,0,5,7,2,0,6,10,8,0,0,0,0,3,0,0,0,0,0,12
Cyprus,0,0,4,0,0,1,3,0,12,0,0,8,6,5,0,0,0,0,2,10,0,0,0,0,7
Denmark,0,0,0,7,0,8,1,0,0,0,0,10,4,3,0,5,0,0,0,2,6,0,0,0,12
Estonia,0,0,0,1,0,0,12,0,0,5,2,8,0,0,0,3,0,7,4,0,0,0,0,6,10
France,0,0,0,4,0,8,0,0,0,5,0,10,0,1,0,3,0,0,7,2,0,0,0,6,12
Germany,0,3,1,5,0,7,0,0,0,0,0,8,4,0,0,6,0,0,0,2,0,0,0,12,10
Greece,0,0,0,12,2,0,4,0,0,0,0,0,5,8,0,1,0,0,3,6,0,0,0,7,10
Hungary,5,0,0,0,0,4,2,1,0,0,0,8,3,0,0,7,0,0,0,10,0,0,0,6,12
Iceland,0,0,0,12,6,2,10,0,0,5,0,0,1,0,0,0,0,0,3,0,4,0,0,7,8
Ireland,0,0,0,3,0,8,10,0,0,4,0,0,1,7,0,0,0,0,0,6,5,0,0,2,12
Italy,0,0,0,4,0,12,0,5,0,0,0,10,0,6,0,1,0,0,0,3,0,2,0,7,8
Malta,0,0,8,7,0,0,0,3,6,2,0,0,0,0,0,0,0,0,5,12,0,0,4,10,1
Norway,0,0,0,2,7,0,12,0,5,0,0,3,0,10,0,4,0,1,0,0,8,0,0,0,6
Poland,1,0,3,0,0,6,12,0,0,5,0,7,8,0,0,0,0,0,2,4,0,0,0,0,10
Portugal,0,0,0,3,0,1,6,0,0,0,0,10,12,0,0,2,0,0,4,8,0,0,0,5,7
Russia,3,0,0,1,0,0,6,0,2,0,0,5,7,0,0,0,0,0,10,8,0,0,0,4,12
Slovenia,0,0,0,4,0,3,2,0,0,0,0,1,10,0,0,7,0,12,0,5,6,0,0,0,8
Spain,0,0,0,10,0,4,0,0,7,0,0,6,8,1,0,2,0,0,0,0,0,3,0,12,5
Sweden,0,4,5,0,7,1,2,0,0,0,8,10,3,0,0,0,0,0,0,0,0,0,0,6,12
Switzerland,0,2,0,4,1,0,3,5,0,0,0,7,10,0,0,0,0,0,0,8,0,0,0,6,12
The Netherlands,3,0,0,10,0,0,5,0,0,0,0,4,7,0,0,1,0,8,0,6,0,0,0,2,12
Turkey,0,8,0,0,0,0,2,0,0,3,0,6,5,12,0,0,0,0,10,4,0,0,1,0,7
United Kingdom,0,0,1,5,2,10,0,0,0,8,6,12,3,0,0,0,0,0,0,0,7,0,0,4,0
