From country,Austria,Belgium,Bosnia & Herzegovina,Croatia,Cyprus,Denmark,Estonia,France,Germany,Iceland,Ireland,Israel,Lithuania,Malta,Norway,Poland,Portugal,Slovenia,Spain,Sweden,The Netherlands,Turkey,United Kingdom
Austria,0,0,12,8,0,5,3,0,10,2,0,1,0,7,0,0,0,0,0,6,4,0,0
Belgium,6,0,1,5,0,0,4,0,10,8,0,3,0,0,0,0,0,2,0,7,12,0,0
Bosnia & Herzegovina,0,0,0,8,0,0,3,0,10,0,0,2,0,7,0,6,0,5,0,12,4,0,1
Croatia,0,4,10,0,0,0,0,0,3,0,0,8,2,6,7,0,0,12,1,0,0,0,5
Cyprus,1,0,0,2,0,8,0,0,0,12,0,10,5,3,7,0,0,0,0,6,0,0,4
Denmark,3,0,8,0,0,0,4,0,5,12,0,2,0,0,6,0,0,0,0,10,7,0,1
Estonia,8,5,0,3,0,6,0,0,7,10,0,4,2,1,0,0,0,0,0,12,0,0,0
France,0,2,6,7,0,0,4,0,8,0,0,10,0,0,0,0,12,1,0,3,0,5,0
Germany,5,0,8,10,0,0,6,0,0,3,0,7,0,1,0,4,0,0,0,2,0,12,0
Iceland,8,0,3,4,0,12,2,0,5,0,0,1,0,0,7,0,0,0,0,10,6,0,0
Ireland,0,10,0,6,0,7,8,2,0,4,0,0,0,0,3,0,0,12,0,5,1,0,0
Israel,0,5,0,7,0,2,1,0,12,10,0,0,3,0,0,0,0,0,0,8,6,0,4
Lithuania,0,0,0,6,0,0,1,2,0,8,12,0,0,0,0,7,0,10,0,3,4,0,5
Malta,0,0,0,5,0,4,7,0,3,10,0,6,1,0,0,0,0,0,0,12,2,0,8
Norway,6,0,7,0,0,0,5,8,3,10,1,2,0,0,0,0,0,0,0,12,0,4,0
Poland,3,2,5,7,0,1,8,0,12,4,0,10,0,0,0,0,0,0,0,6,0,0,0
Portugal,5,0,0,6,0,3,7,0,12,4,0,8,0,1,0,0,0,0,0,10,2,0,0
Slovenia,4,0,10,12,0,5,8,0,6,0,0,1,0,0,0,0,0,0,0,7,3,0,2
Spain,0,0,0,12,0,5,1,0,7,10,0,8,0,0,0,0,0,2,0,6,3,0,4
Sweden,7,0,6,1,0,8,10,0,2,12,0,3,0,0,5,0,0,0,0,0,4,0,0
The Netherlands,2,10,3,1,0,0,5,0,12,7,0,4,0,0,0,0,0,6,0,8,0,0,0
Turkey,0,0,7,8,0,0,0,2,12,10,1,3,0,0,0,0,0,0,0,6,5,0,4
United Kingdom,7,0,0,0,2,5,3,0,1,10,4,0,0,6,0,0,0,0,0,12,8,0,0
