From country,Armenia,Azerbaijan,Belarus,Belgium,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Italy,Lithuania,Malta,Moldova,Norway,Romania,Russia,Spain,Sweden,The Netherlands,Ukraine,United Kingdom
Albania,0,7,0,0,1,0,0,0,0,3,10,8,0,0,12,0,0,0,2,5,0,6,0,4,0,0
Armenia,0,0,5,0,4,0,0,2,10,0,8,0,0,0,1,0,6,0,3,0,7,0,0,0,12,0
Austria,0,12,0,3,5,0,0,0,0,6,7,0,0,0,10,0,0,2,0,4,0,0,0,8,1,0
Azerbaijan,0,0,7,0,5,0,0,0,10,0,4,0,0,0,0,3,8,1,2,6,0,0,0,0,12,0
Belarus,2,10,0,0,1,0,0,0,0,0,6,0,0,0,0,5,7,4,3,0,8,0,0,0,12,0
Belgium,0,5,0,0,10,0,0,0,0,0,2,0,0,0,6,0,0,3,7,0,4,0,1,12,8,0
Bulgaria,8,12,0,0,2,0,0,0,0,0,7,6,0,0,0,0,0,3,1,0,5,0,4,0,10,0
Croatia,0,7,0,0,10,0,0,0,0,0,5,4,0,0,8,0,0,0,3,0,6,0,1,2,12,0
Cyprus,0,8,0,0,7,0,0,1,0,0,12,0,0,2,6,0,3,0,4,0,5,0,0,0,10,0
Denmark,0,0,0,5,0,0,2,0,0,0,6,0,1,0,0,0,4,0,12,0,7,0,8,10,3,0
Estonia,0,0,0,2,8,0,0,0,0,0,0,4,6,0,0,0,5,0,3,0,12,0,1,7,10,0
F.Y.R. Macedonia,0,0,5,0,12,0,0,1,0,0,4,0,0,0,10,0,3,7,8,0,6,0,0,2,0,0
Finland,0,0,0,3,7,6,0,0,0,0,1,10,5,0,0,0,0,0,12,0,2,0,4,8,0,0
France,7,8,0,5,12,0,3,0,0,0,0,0,0,0,10,0,2,4,0,1,6,0,0,0,0,0
Georgia,10,12,5,0,7,0,0,0,0,0,0,0,0,0,2,1,3,0,4,0,6,0,0,0,8,0
Germany,0,4,0,0,10,0,1,0,0,0,6,12,8,0,0,0,5,0,7,0,2,0,3,0,0,0
Greece,0,12,1,0,7,0,0,0,5,0,0,2,0,0,6,0,3,0,4,10,0,0,0,0,8,0
Hungary,3,12,0,4,10,0,0,0,0,0,1,0,6,0,0,0,8,0,2,0,0,0,0,5,7,0
Iceland,0,7,0,0,12,0,0,2,0,0,0,0,0,0,0,0,5,0,10,6,1,0,4,8,3,0
Ireland,0,2,0,4,12,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,10,0,5,6,8,7
Israel,0,12,3,0,8,0,4,0,0,5,2,0,0,0,0,0,0,1,6,0,7,0,0,0,10,0
Italy,0,0,0,0,12,0,0,0,0,0,7,3,0,0,0,6,10,4,8,1,0,2,0,0,5,0
Latvia,0,3,0,2,6,10,0,0,0,0,1,0,0,0,0,0,5,0,8,0,12,0,4,0,7,0
Lithuania,0,12,1,0,2,3,0,0,8,0,0,5,0,0,0,0,0,0,6,0,7,0,0,4,10,0
Malta,1,12,2,0,6,0,0,0,0,0,4,0,0,0,8,0,0,0,3,7,0,0,0,0,10,5
Moldova,1,8,4,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,2,10,7,0,5,0,12,0
Montenegro,0,12,3,0,10,0,0,0,2,0,8,0,0,0,6,0,0,5,4,1,7,0,0,0,0,0
Norway,0,0,0,3,7,0,0,0,0,0,5,2,4,0,0,0,10,0,0,6,0,0,12,8,1,0
Romania,0,10,0,0,6,0,0,0,0,0,7,0,0,0,1,0,5,12,8,0,0,0,0,2,4,3
Russia,2,12,0,8,4,0,0,0,5,0,10,0,0,0,0,0,0,6,7,0,0,0,0,3,1,0
San Marino,1,2,0,5,0,0,3,8,0,0,12,6,0,0,4,0,10,0,7,0,0,0,0,0,0,0
Serbia,0,5,0,3,12,0,0,0,0,0,0,2,0,0,4,0,0,6,7,0,8,0,1,0,10,0
Slovenia,0,3,0,2,12,0,0,0,0,0,0,0,4,0,8,0,0,0,5,0,10,0,6,7,0,1
Spain,0,7,0,0,8,0,0,0,0,3,0,0,0,0,12,0,1,2,5,0,6,0,0,0,10,4
Sweden,0,0,0,7,10,0,0,0,0,0,0,3,6,2,0,0,0,0,12,4,5,0,0,8,0,1
Switzerland,0,6,0,0,3,0,0,0,0,1,8,10,5,0,12,0,0,0,7,0,0,0,0,4,0,2
The Netherlands,0,2,0,12,10,0,0,0,0,0,1,7,0,0,0,0,8,0,6,0,4,0,3,0,5,0
Ukraine,6,10,12,0,5,0,0,0,7,0,0,0,0,0,0,1,2,8,3,0,4,0,0,0,0,0
United Kingdom,0,0,0,3,12,0,0,0,0,0,8,0,2,1,0,0,7,0,0,4,10,0,0,6,5,0
